profit_inv,profit_sym,q_T_inv,q_T_sym
58.87961307494322,57.06116747360892,4,4
66.96942258660602,71.33693753361388,4,9
55.20797452355896,53.49746405440874,5,21
58.36472727803705,60.27790223383613,0,-4
64.13276374887565,67.21773998611599,0,-1
72.30612435240766,77.41026893185415,-3,-2
58.512220923997575,51.72070799313508,-3,0
63.55035477474024,97.22483264500647,3,-12
65.74598638655439,64.32759129155868,3,0
75.85703604780922,74.31697731124893,1,6
65.5285108912048,50.93630580220906,-2,11
62.21223246101539,64.17597863867019,-2,-1
67.86666652533184,54.39213992171557,1,-2
70.5204899161347,105.5507144463927,-5,-24
68.89944058085682,70.55013096600076,0,0
64.70566438959628,74.50992894064552,-3,-14
66.77773667931945,67.29743977254253,1,2
68.68692317213663,71.61978024608834,4,13
69.4072162897798,77.83453300056613,-4,-6
72.36635227625811,69.34925162632703,-5,-6
65.9726265913364,66.11213427279722,-3,-2
65.8222143104046,68.40304548586118,-1,-19
56.6338915051324,59.12076624735755,4,9
63.39207997732461,71.57603689289306,5,2
62.17171441359778,52.90063094960283,6,13
63.616116604523484,71.30098110038278,-1,-3
51.64318973933061,79.19240753640463,-2,4
57.086007361624425,57.18461061323052,0,-2
55.500607788771546,59.99505952136137,0,0
69.7793970140878,94.15192361770403,1,-8
69.46859786838206,56.461929992115756,-1,-16
70.5495239252607,70.13605819393979,-3,-7
77.23273946700908,94.36525784040344,-2,-4
60.997110836014485,67.88889033407122,-3,-17
63.86646732443586,77.55947720805557,1,9
63.99855760840964,60.0849506044392,3,8
69.97741185790233,66.1558776259925,-1,-3
55.74377943777404,58.465189739330754,-2,-3
63.72418889424671,71.00794709125626,2,8
72.2394298521528,81.21066733364614,-3,-24
65.64365002811917,72.30890881065902,6,1
76.53817155195003,84.55324961018219,4,2
59.140647566406585,68.74760976814667,1,4
62.52845990252854,68.11001147673528,4,6
64.85008045966185,44.14808070281833,2,-7
71.45069605660058,82.74053711567649,-3,-19
69.06585665092234,86.7698435800969,-3,-9
65.98649274059382,64.51275600099154,1,-1
61.263389266203546,54.639026200958995,2,-4
68.70192894064559,76.15305056564637,-1,-2
61.93162461196121,66.7035848343263,2,-3
74.70432355330388,76.90630507671585,-1,-7
60.383461555926715,64.16819171870588,-1,-6
66.70745873146757,59.36765252660177,6,7
71.76363235984559,75.33269194149003,2,1
71.65667064044257,51.262891867879205,2,-4
65.7485071020709,80.3621391962223,-1,-2
55.72003608457874,35.04317925378291,6,19
54.802958508683844,51.58947793354872,-2,5
69.44529188629969,71.87685782198307,-2,2
67.63232637776304,61.61482038646977,2,13
66.28167181150366,62.66649144994244,3,8
62.2936825402071,69.16168254020705,4,1
65.88275680930568,72.25737853750002,1,11
67.75953417162702,75.67725622377532,-1,4
59.56118312573767,66.06839091960188,-2,-5
68.20442787277779,75.83665579662816,1,0
63.89209482113918,54.2764837020577,0,-1
52.18488258618726,45.4699988054258,-1,-11
59.172354774740285,62.232036084578795,2,-1
72.09421842551541,86.26587972495827,5,14
64.50812354409341,38.33182688047259,1,-15
61.84745461635697,76.37417170831031,-1,-3
77.2039834057349,84.38606311736561,1,-3
65.68815638215858,69.62190304215017,-4,-7
68.138970371679,83.70231709607117,1,-6
67.51907090201928,46.86325598459416,-4,-16
68.5964496561621,72.93631580541938,2,-2
59.29439834150901,94.18547567424685,-2,-22
66.79052888545526,72.06202253141572,2,-5
56.71282829071461,59.262187603594995,-1,1
66.81293422681723,75.72099957697048,1,3
54.71456058922905,46.992081667492016,-3,7
67.55033379967014,56.14313084640992,0,10
73.34299578783691,90.14838228986423,-2,-7
70.69882579223236,81.40602333973061,9,18
72.77406642416162,83.99535110519733,-2,1
58.76415605618158,54.80621269377605,1,7
74.71521677211717,73.2730931677404,6,12
60.94056091520599,55.81414040405252,6,13
63.35383817433433,71.74322338571028,1,-19
63.48019583381665,64.57447757080149,6,20
